City/Town,Ward,Pct,"Harvey Smith","Chris Goodrich",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bridport,,,248,316,0,0,564
"New Haven",,,485,295,0,0,780
Weybridge,,,219,219,1,0,439
TOTALS,,,952,830,1,0,"1,783"
