City/Town,Ward,Pct,"Kathy Labelle Lavoie","John S. Winters",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic,Republican/Democratic
Sheldon,,,427,420,13,0,860
Swanton,,,"1,560","1,555",29,0,"3,144"
TOTALS,,,"1,987","1,975",42,0,"4,004"
