City/Town,Ward,Pct,"Stephanie A. Bourdeau","Linda J. Martin",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Hyde Park",,,677,489,1,0,"1,167"
Wolcott,,,183,349,0,0,532
TOTALS,,,860,838,1,0,"1,699"
