City/Town,Ward,Pct,"Perry D. Waite",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
"Middletown Springs",,,291,10,0,301
Pawlet,,,388,7,0,395
Rupert,,,188,6,0,194
Wells,,,287,8,0,295
TOTALS,,,"1,154",31,0,"1,185"
