City/Town,Ward,Pct,"Ann Seibert","Jim Masland",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic/Republican
Norwich,,,"1,364","1,069",28,0,"2,461"
Sharon,,,300,340,8,0,648
Strafford,,,380,337,16,0,733
Thetford,,,675,902,25,0,"1,602"
TOTALS,,,"2,719","2,648",77,0,"5,444"
