City/Town,Ward,Pct,"Janice L. Peaslee","Amos J. Bell",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bloomfield,,,47,13,0,0,60
Brunswick,,,21,15,0,0,36
Concord,,,228,106,2,0,336
Granby,,,29,5,1,0,35
Guildhall,,,64,33,0,0,97
Kirby,,,111,56,0,0,167
Lunenburg,,,199,174,1,0,374
Maidstone,,,38,12,0,0,50
Victory,,,35,12,0,0,47
TOTALS,,,772,426,4,0,"1,202"
