City/Town,Ward,Pct,"Harvey B. Otterman, Jr","J. Yorke Peeler",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Groton,,,247,94,0,0,341
Newbury,-,"Center Town House",87,50,0,0,137
Newbury,-,"Town Office",167,234,1,0,402
Newbury,-,"West River Village",125,84,0,0,209
Topsham,,,299,107,1,0,410
TOTALS,,,925,569,2,0,"1,499"
