City/Town,Ward,Pct,"Martha Heath","Tom James",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Essex,,,515,525,2,0,"1,042"
Westford,,,497,342,3,0,842
TOTALS,,,"1,012",867,5,0,"1,884"
