City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge","George M. Kuusela",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Athens,,,55,40,50,2,0,147
Brookline,,,121,118,88,7,0,334
Grafton,,,182,148,119,4,0,453
Rockingham,,,"1,315",998,510,29,0,"2,852"
Westminster,,,42,32,20,6,0,100
Windham,,,85,74,66,0,0,225
TOTALS,,,"1,800","1,410",853,48,0,"4,111"
