City/Town,Ward,Pct,"Kinny Connell","Clifford Eardensohn",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Fayston,,,351,236,0,0,587
Waitsfield,,,582,290,0,0,872
Warren,,,559,236,0,0,795
TOTALS,,,"1,492",762,0,0,"2,254"
