City/Town,Ward,Pct,"Brian C. Dunsmore","Carolyn Whitney Branagan","George Bilodeau","Marcheta Townsend",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Fairfax,,,589,487,523,673,85,0,"2,357"
Georgia,,,856,881,721,403,10,0,"2,871"
TOTALS,,,"1,445","1,368","1,244","1,076",95,0,"5,228"
