City/Town,Ward,Pct,"Mark Larson","Hank Shumski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent
Burlington,-,"Chittenden 3-2 Ward 2",107,37,0,0,144
Burlington,-,"Chittenden 3-2 Ward 3",105,21,1,0,127
Burlington,-,"Chittenden 3-2 Ward 4",228,120,1,0,349
Burlington,-,"Chittenden 3-2 Ward 7",608,334,8,0,950
TOTALS,,,"1,048",512,10,0,"1,570"
