City/Town,Ward,Pct,"Steven C. Adams","Mary O'Brien",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Hartland,,,699,662,1,0,"1,362"
"W. Windsor",,,273,208,0,0,481
TOTALS,,,972,870,1,0,"1,843"
