City/Town,Ward,Pct,"Robert A. Starr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Jay,,,104,2,0,106
Lowell,,,210,3,0,213
Montgomery,,,329,17,0,346
Troy,,,347,6,0,353
Westfield,,,178,3,0,181
TOTALS,,,"1,168",31,0,"1,199"
