City/Town,Ward,Pct,"Bob Rusten","Chris Richter",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Halifax,,,199,124,0,0,323
Whitingham,,,232,260,0,0,492
Wilmington,,,553,414,1,0,968
TOTALS,,,984,798,1,0,"1,783"
