City/Town,Ward,Pct,"Avis Gervais","David A. Baker",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,"Liberty Union"
Bakersfield,,,287,142,10,0,439
Enosburgh,,,742,105,5,0,852
TOTALS,,,"1,029",247,15,0,"1,291"
