City/Town,Ward,Pct,"Richard J. Marek","Roger Allbee","Larry Kraft",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent
Marlboro,,,325,95,30,1,0,451
Newfane,,,468,320,36,0,0,824
Townshend,,,137,344,87,1,0,569
TOTALS,,,930,759,153,2,0,"1,844"
