City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Belvidere,,,88,3,0,91
Cambridge,,,"1,081",22,0,"1,103"
Waterville,,,209,8,0,217
TOTALS,,,"1,378",33,0,"1,411"
