City/Town,Ward,Pct,"Richard Mazza","Neal Danaher",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Colchester,-,"Chittenden 7-1","1,608",842,4,0,"2,454"
Colchester,-,"Chittenden 7-2","1,945","1,065",3,0,"3,013"
"Grand Isle",,,628,298,1,0,927
"Isle La Motte",,,143,85,0,0,228
"N. Hero",,,251,159,0,0,410
"S. Hero",,,650,249,0,0,899
TOTALS,,,"5,225","2,698",8,0,"7,931"
