City/Town,Ward,Pct,"Connie T. Houston","Gregory Clark","Elizabeth Markowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic
Addison,,,441,374,243,4,0,"1,062"
Ferrisburgh,,,801,622,585,8,0,"2,016"
Panton,,,195,187,116,5,0,503
Vergennes,,,583,605,352,7,0,"1,547"
Waltham,,,138,146,109,4,0,397
TOTALS,,,"2,158","1,934","1,405",28,0,"5,525"
