City/Town,Ward,Pct,"George Allard","Richard J. Howrigan","James Gregoire",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Fairfield,,,328,542,313,1,0,"1,184"
Fletcher,,,209,271,188,1,0,669
"St. Albans Town",,,"1,369",817,721,0,0,"2,907"
TOTALS,,,"1,906","1,630","1,222",2,0,"4,760"
