City/Town,Ward,Pct,"Tony Klein","John M. Sanfacon",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"E. Montpelier",,,741,519,3,0,"1,263"
Middlesex,,,500,321,2,0,823
TOTALS,,,"1,241",840,5,0,"2,086"
