City/Town,Ward,Pct,"Warren Miller","Shap Smith","Shaun C. Bryer","Barb Farr",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Independent
Elmore,,,260,160,138,128,0,0,686
Morristown,,,959,732,896,635,18,0,"3,240"
Woodbury,,,174,180,130,140,2,0,626
Worcester,,,192,238,103,191,2,0,726
TOTALS,,,"1,585","1,310","1,267","1,094",22,0,"5,278"
