City/Town,Ward,Pct,"Carroll F. Ketchum","Larry Curtis",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,"Liberty Union"
Bethel,,,553,133,3,0,689
Pittsfield,,,134,55,1,0,190
Rochester,,,192,337,4,0,533
Stockbridge,,,164,63,1,0,228
TOTALS,,,"1,043",588,9,0,"1,640"
