City/Town,Ward,Pct,"Maxine Grad","Anne B. Donahue","Domenic Falzarano","Brad Denny",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican,Democratic
Moretown,,,621,296,226,235,3,0,"1,381"
Northfield,,,995,881,723,597,4,0,"3,200"
Roxbury,,,176,113,107,111,2,0,509
TOTALS,,,"1,792","1,290","1,056",943,9,0,"5,090"
