City/Town,Ward,Pct,"Ed Amidon","Scott A. Orr",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Charlotte,,,"1,000",802,2,0,"1,804"
Hinesburg,,,34,28,0,0,62
TOTALS,,,"1,034",830,2,0,"1,866"
