City/Town,Ward,Pct,"George Schiavone","Joan G. Lenes",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Shelburne,,,804,673,2,0,"1,479"
"St. George",,,133,109,1,0,243
TOTALS,,,937,782,3,0,"1,722"
