City/Town,Ward,Pct,"David L. Deen","Steve Darrow","Margaret M. O'Toole",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent
Dummerston,,,513,557,270,67,0,"1,407"
Putney,,,628,533,507,45,0,"1,713"
Westminster,,,641,486,562,211,0,"1,900"
TOTALS,,,"1,782","1,576","1,339",323,0,"5,020"
