City/Town,Ward,Pct,"Deb Markowitz","Michael S. Bertrand","Tina M. Thompson","Leslie Yvonne Scaffidi",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Vermont Grassroots","Liberty Union"
Waterbury,,,"1,333",672,44,16,1,0,"2,066"
Waterford,,,178,315,10,4,0,0,507
Waterville,,,139,99,0,10,0,0,248
Weathersfield,,,570,466,56,16,0,0,"1,108"
Wells,,,155,171,10,4,0,0,340
"W. Fairlee",,,120,76,5,6,0,0,207
"W. Haven",,,46,47,5,1,0,0,99
"W. Rutland",,,385,217,169,12,0,0,783
"W. Windsor",,,259,197,10,5,0,0,471
Westfield,,,105,73,13,1,0,0,192
Westford,,,550,256,31,7,0,0,844
Westminster,-,"Windham Ward 4",40,13,3,0,0,0,56
Westminster,-,"Windham Ward 5",787,297,51,10,1,0,"1,146"
Westmore,,,98,64,8,1,0,0,171
Weston,,,143,135,10,5,0,0,293
Weybridge,,,269,146,7,1,0,0,423
Wheelock,,,101,105,7,1,0,0,214
Whiting,,,97,65,2,2,0,0,166
Whitingham,,,181,253,26,7,0,0,467
Williamstown,,,589,601,18,18,0,0,"1,226"
Williston,,,"2,168","1,448",49,10,2,0,"3,677"
Wilmington,,,413,410,39,26,0,0,888
Windham,,,71,58,9,2,0,0,140
Windsor,,,702,354,42,18,0,0,"1,116"
Winhall,,,133,166,14,5,0,0,318
Winooski,,,"1,112",431,55,11,0,0,"1,609"
Wolcott,,,309,176,22,12,0,0,519
Woodbury,,,210,153,11,5,0,0,379
Woodford,,,87,45,10,2,0,0,144
Woodstock,,,801,528,35,13,2,0,"1,379"
Worcester,,,307,129,8,2,0,0,446
TOTALS,,,"131,469","82,905","7,166","1,968",113,0,"223,621"
