"county","town","precinct","office","district","party","candidate","votes"
"Addison","Addison","Addison","Auditor General","",,"Elizabeth M Ready",272
"Orleans","Albany","Albany","Auditor General","",,"Elizabeth M Ready",240
"Grand Isle","Alburgh","Alburgh","Auditor General","",,"Elizabeth M Ready",392
"Windsor","Andover","Andover","Auditor General","",,"Elizabeth M Ready",101
"Bennington","Arlington","Arlington","Auditor General","",,"Elizabeth M Ready",601
"Windham","Athens","Athens","Auditor General","",,"Elizabeth M Ready",46
"Franklin","Bakersfield","Bakersfield","Auditor General","",,"Elizabeth M Ready",371
"Windsor","Baltimore","Baltimore","Auditor General","",,"Elizabeth M Ready",47
"Windsor","Barnard","Barnard","Auditor General","",,"Elizabeth M Ready",256
"Caledonia","Barnet","Barnet","Auditor General","",,"Elizabeth M Ready",241
"Washington","Barre City","Washington 4-1","Auditor General","",,"Elizabeth M Ready",841
"Washington","Barre City","Washington 4-2","Auditor General","",,"Elizabeth M Ready",959
"Washington","Barre Town","Barre Town","Auditor General","",,"Elizabeth M Ready",1636
"Orleans","Barton","Barton Memorial","Auditor General","",,"Elizabeth M Ready",316
"Orleans","Barton","Orleans Memorial","Auditor General","",,"Elizabeth M Ready",188
"Lamoille","Belvidere","Belvidere","Auditor General","",,"Elizabeth M Ready",57
"Bennington","Bennington","Bennington 2-1","Auditor General","",,"Elizabeth M Ready",1125
"Bennington","Bennington","Bennington 2-1 Nb","Auditor General","",,"Elizabeth M Ready",371
"Bennington","Bennington","Bennington 2-2","Auditor General","",,"Elizabeth M Ready",479
"Bennington","Bennington","Bennington 2-3","Auditor General","",,"Elizabeth M Ready",1546
"Bennington","Bennington","Bennington 2-4","Auditor General","",,"Elizabeth M Ready",13
"Rutland","Benson","Benson","Auditor General","",,"Elizabeth M Ready",200
"Franklin","Berkshire","Berkshire","Auditor General","",,"Elizabeth M Ready",327
"Washington","Berlin","Berlin","Auditor General","",,"Elizabeth M Ready",568
"Windsor","Bethel","Bethel","Auditor General","",,"Elizabeth M Ready",430
"Essex","Bloomfield","Bloomfield","Auditor General","",,"Elizabeth M Ready",33
"Chittenden","Bolton","Bolton","Auditor General","",,"Elizabeth M Ready",318
"Orange","Bradford","Bradford","Auditor General","",,"Elizabeth M Ready",500
"Orange","Braintree","Braintree","Auditor General","",,"Elizabeth M Ready",239
"Rutland","Brandon","Brandon","Auditor General","",,"Elizabeth M Ready",887
"Windham","Brattleboro","Windham 2-1","Auditor General","",,"Elizabeth M Ready",1182
"Windham","Brattleboro","Windham 2-2","Auditor General","",,"Elizabeth M Ready",1105
"Windham","Brattleboro","Windham 2-3","Auditor General","",,"Elizabeth M Ready",1132
"Windsor","Bridgewater","Bridgewater","Auditor General","",,"Elizabeth M Ready",236
"Addison","Bridport","Bridport","Auditor General","",,"Elizabeth M Ready",272
"Essex","Brighton","Brighton","Auditor General","",,"Elizabeth M Ready",241
"Addison","Bristol","Bristol","Auditor General","",,"Elizabeth M Ready",832
"Orange","Brookfield","Brookfield","Auditor General","",,"Elizabeth M Ready",310
"Windham","Brookline","Brookline","Auditor General","",,"Elizabeth M Ready",127
"Orleans","Brownington","Brownington","Auditor General","",,"Elizabeth M Ready",152
"Essex","Brunswick","Brunswick","Auditor General","",,"Elizabeth M Ready",17
"Caledonia","Burke","Burke","Auditor General","",,"Elizabeth M Ready",244
"Chittenden","Burlington","Chittenden 7-1 Ward 5","Auditor General","",,"Elizabeth M Ready",1925
"Chittenden","Burlington","Chittenden 7-1 Ward 6","Auditor General","",,"Elizabeth M Ready",847
"Chittenden","Burlington","Chittenden 7-2 Ward 2","Auditor General","",,"Elizabeth M Ready",414
"Chittenden","Burlington","Chittenden 7-2 Ward 3","Auditor General","",,"Elizabeth M Ready",1654
"Chittenden","Burlington","Chittenden 7-2 Ward 5","Auditor General","",,"Elizabeth M Ready",62
"Chittenden","Burlington","Chittenden 7-3 Ward 1","Auditor General","",,"Elizabeth M Ready",1706
"Chittenden","Burlington","Chittenden 7-3 Ward 2","Auditor General","",,"Elizabeth M Ready",105
"Chittenden","Burlington","Chittenden 7-3 Ward 6","Auditor General","",,"Elizabeth M Ready",299
"Chittenden","Burlington","Chittenden 7-4 Ward 2","Auditor General","",,"Elizabeth M Ready",1026
"Chittenden","Burlington","Chittenden 7-5 Ward 3","Auditor General","",,"Elizabeth M Ready",69
"Chittenden","Burlington","Chittenden 7-5 Ward 4","Auditor General","",,"Elizabeth M Ready",295
"Chittenden","Burlington","Chittenden 7-5 Ward 7","Auditor General","",,"Elizabeth M Ready",862
"Chittenden","Burlington","Chittenden 7-6 Ward 4","Auditor General","",,"Elizabeth M Ready",1476
"Chittenden","Burlington","Chittenden 7-6 Ward 7","Auditor General","",,"Elizabeth M Ready",848
"Chittenden","Burlington","Chittenden 7-7 Ward 6","Auditor General","",,"Elizabeth M Ready",684
"Washington","Cabot","Cabot","Auditor General","",,"Elizabeth M Ready",278
"Washington","Calais","Calais","Auditor General","",,"Elizabeth M Ready",528
"Lamoille","Cambridge","Cambridge","Auditor General","",,"Elizabeth M Ready",909
"Essex","Canaan","Canaan","Auditor General","",,"Elizabeth M Ready",161
"Rutland","Castleton","Castleton","Auditor General","",,"Elizabeth M Ready",763
"Windsor","Cavendish","Cavendish","Auditor General","",,"Elizabeth M Ready",274
"Orleans","Charleston","Charleston","Auditor General","",,"Elizabeth M Ready",161
"Chittenden","Charlotte","Charlotte","Auditor General","",,"Elizabeth M Ready",1261
"Orange","Chelsea","Chelsea","Auditor General","",,"Elizabeth M Ready",259
"Windsor","Chester","Chester","Auditor General","",,"Elizabeth M Ready",784
"Rutland","Chittenden","Chittenden","Auditor General","",,"Elizabeth M Ready",253
"Rutland","Clarendon","Clarendon","Auditor General","",,"Elizabeth M Ready",529
"Chittenden","Colchester","Chittenden 1-1","Auditor General","",,"Elizabeth M Ready",2653
"Chittenden","Colchester","Chittenden 1-2","Auditor General","",,"Elizabeth M Ready",1764
"Chittenden","Colchester","Chittenden 1-3","Auditor General","",,"Elizabeth M Ready",23
"Essex","Concord","Concord","Auditor General","",,"Elizabeth M Ready",105
