City/Town,Ward,Pct,"Jim Condos","Charles Merriman",Write-Ins,Blanks,"Total Votes Cast"
Weston,,,35,37,0,41,113
Weybridge,,,94,38,2,73,207
Wheelock,,,24,18,0,15,57
Whiting,,,17,6,0,18,41
Whitingham,,,43,35,1,31,110
Williamstown,,,134,78,17,49,278
Williston,,,854,216,4,233,"1,307"
Wilmington,,,60,86,4,56,206
Windham,,,31,20,0,21,72
Windsor,,,179,118,2,88,387
Winhall,,,23,22,2,29,76
Winooski,,,432,84,2,116,634
Wolcott,,,85,39,3,47,174
Woodbury,,,82,35,3,46,166
Woodford,,,16,13,2,9,40
Woodstock,,,239,173,2,231,645
Worcester,,,63,90,0,51,204
TOTALS,,,"36,443","17,815",881,"19,446","74,585"
