City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Castleton,,,164,167,5,52,388
"Fair Haven",,,149,132,2,27,310
Hubbardton,,,24,22,1,7,54
"W. Haven",,,16,15,0,3,34
TOTALS,,,353,336,8,89,786
