City/Town,Ward,Pct,"John H. Taylor","Susan Hatch Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,2,0,0,2,4
Corinth,,,3,1,0,2,6
Orange,,,0,1,0,1,2
Vershire,,,1,2,0,1,4
Washington,,,0,3,0,3,6
Williamstown,,,5,3,1,3,12
TOTALS,,,11,10,1,12,34
