City/Town,Ward,Pct,"Peter A. Cooper",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,1,0,0,1
Andover,,,0,0,1,1
Arlington,,,0,1,0,1
Bakersfield,,,5,0,4,9
Baltimore,,,0,1,0,1
Barnard,,,2,0,0,2
"Barre Town",,,5,1,0,6
Barton,,,1,0,1,2
Bennington,-,"Bennington 2-1",1,0,3,4
Bennington,-,"Bennington 2-2",8,0,4,12
Benson,,,1,0,2,3
Berlin,,,1,0,1,2
Bethel,,,1,0,1,2
Bolton,,,0,0,2,2
Brandon,,,4,0,0,4
Brattleboro,-,"Windham 3-1",4,0,2,6
Brattleboro,-,"Windham 3-2",7,1,0,8
Brattleboro,-,"Windham 3-3",11,0,0,11
Bridgewater,,,1,0,1,2
Brighton,,,2,0,2,4
Bristol,,,3,0,1,4
Brookfield,,,1,0,0,1
Brownington,,,1,0,0,1
Burlington,-,"Chittenden 3-1",3,0,3,6
Burlington,-,"Chittenden 3-2",1,0,2,3
Burlington,-,"Chittenden 3-3",7,0,1,8
Burlington,-,"Chittenden 3-4",8,0,4,12
Burlington,-,"Chittenden 3-5",5,0,1,6
Burlington,-,"Chittenden 3-6",1,0,1,2
Cabot,,,1,0,1,2
Calais,,,1,0,3,4
Cambridge,,,1,0,1,2
Canaan,,,1,0,1,2
Castleton,,,1,0,0,1
Charlotte,,,1,0,1,2
Chelsea,,,0,0,2,2
Chester,,,1,0,0,1
Chittenden,,,0,1,0,1
Clarendon,,,0,0,2,2
Concord,,,0,0,1,1
Corinth,,,1,0,2,3
Craftsbury,,,1,0,2,3
Danby,,,1,0,0,1
Derby,,,1,1,0,2
Dover,,,1,0,1,2
Dummerston,,,1,0,0,1
Duxbury,,,2,0,0,2
"E. Haven",,,2,1,0,3
Eden,,,0,0,1,1
Elmore,,,0,0,1,1
Enosburgh,,,6,1,12,19
Essex,-,"Chittenden 6-1",3,0,0,3
Essex,-,"Chittenden 6-2",1,0,2,3
Essex,-,"Chittenden 6-3",1,0,0,1
"Fair Haven",,,3,0,0,3
Fairfax,,,0,0,1,1
Fayston,,,1,0,0,1
Ferrisburgh,,,2,0,0,2
Fletcher,,,1,0,0,1
Georgia,,,1,0,1,2
Grafton,,,0,0,1,1
"Grand Isle",,,0,1,2,3
Greensboro,,,3,0,0,3
Groton,,,1,0,1,2
Guildhall,,,1,0,0,1
Guilford,,,2,0,1,3
Hancock,,,0,1,0,1
Hardwick,,,0,0,3,3
Hartford,-,"Windsor 6-1",0,0,1,1
Hartford,-,"Windsor 6-2",3,0,0,3
Hartland,,,4,0,6,10
Highgate,,,0,0,1,1
Hinesburg,-,"Chittenden 1-1",2,0,0,2
Hinesburg,-,"Chittenden 1-2",1,0,0,1
Huntington,,,3,0,5,8
"Hyde Park",,,2,0,3,5
Irasburg,,,0,0,1,1
