City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Danby,,,-,9,102,111
Dorset,,,-,12,227,239
Landgrove,,,-,2,0,2
"Mount Tabor",,,-,0,15,15
Peru,,,-,4,47,51
TOTALS,,,-,27,391,418
