City/Town,Ward,Pct,"John Moran",Write-Ins,Blanks,"Total Votes Cast"
,,,
Dover,,,109,7,21,137
Readsboro,,,51,2,7,60
Searsburg,,,6,2,2,10
Stamford,,,59,1,7,67
Wardsboro,,,63,2,11,76
TOTALS,,,288,14,48,350
