City/Town,Ward,Pct,"Christopher A. Pearson","Diane T. Gottlieb",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,,,12,10,1,2,25
TOTALS,,,12,10,1,2,25
