City/Town,Ward,Pct,"Claire Trask",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jamaica,,,74,31,11,116
Londonderry,,,120,11,14,145
Stratton,,,7,1,4,12
Weston,,,91,2,20,113
Winhall,,,53,9,14,76
TOTALS,,,345,54,63,462
