City/Town,Ward,Pct,"Peter E. Perley",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bakersfield,,,38,3,12,53
Enosburgh,,,82,15,18,115
TOTALS,,,120,18,30,168
