City/Town,Ward,Pct,"Sue Minter","Tom Stevens",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Duxbury,,,191,162,9,92,454
Huntington,,,334,298,1,99,732
Waterbury,,,641,564,10,201,"1,416"
TOTALS,,,"1,166","1,024",20,392,"2,602"
