City/Town,Ward,Pct,"Vicki Strong","Linda Johnston","Patricia E. Russell",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Albany,,,96,41,23,0,44,204
Barton,,,120,91,73,8,70,362
Craftsbury,,,49,43,16,4,34,146
Glover,,,76,54,36,9,41,216
Greensboro,,,21,43,8,1,25,98
Sheffield,,,18,24,13,4,11,70
Wheelock,,,26,29,27,2,28,112
TOTALS,,,406,325,196,28,253,"1,208"
