City/Town,Ward,Pct,"Patrick Leahy","Daniel Freilich",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,117,29,2,2,150
Albany,,,83,13,0,0,96
Alburgh,,,126,34,1,8,169
Andover,,,51,7,0,2,60
Arlington,,,174,31,0,1,206
Athens,,,18,8,0,1,27
Bakersfield,,,130,20,1,6,157
Baltimore,,,10,2,0,1,13
Barnard,,,129,23,0,4,156
Barnet,,,154,28,0,3,185
"Barre City",-,"Washington 3-1",307,50,0,12,369
"Barre City",-,"Washington 3-2",272,31,0,9,312
"Barre City",-,"Washington 3-3",52,9,0,0,61
"Barre Town",,,604,111,1,21,737
Barton,,,140,9,0,3,152
Belvidere,,,25,1,0,0,26
Bennington,-,"Bennington 2-1",699,146,2,92,939
Bennington,-,"Bennington 2-2",459,110,2,14,585
Benson,,,73,9,0,3,85
Berkshire,,,82,12,3,1,98
Berlin,,,259,53,1,8,321
Bethel,,,230,30,0,4,264
Bloomfield,,,17,0,0,1,18
Bolton,,,130,17,0,2,149
Bradford,,,280,31,2,12,325
Braintree,,,105,14,0,1,120
Brandon,,,324,41,2,12,379
Brattleboro,-,"Windham 3-1",673,62,2,22,759
Brattleboro,-,"Windham 3-2",555,41,0,14,610
Brattleboro,-,"Windham 3-3",557,61,1,14,633
Bridgewater,,,95,11,1,5,112
Bridport,,,123,21,1,5,150
Brighton,,,97,23,0,9,129
Bristol,,,392,24,2,8,426
Brookfield,,,167,22,0,1,190
Brookline,,,58,7,0,4,69
Brownington,,,54,5,0,1,60
Brunswick,,,20,2,0,1,23
Burke,,,94,21,0,5,120
Burlington,-,"Chittenden 3-1","1,025",113,0,23,"1,161"
Burlington,-,"Chittenden 3-2",622,68,0,7,697
Burlington,-,"Chittenden 3-3",814,82,3,34,933
Burlington,-,"Chittenden 3-4",648,47,1,18,714
Burlington,-,"Chittenden 3-5","1,603",113,1,31,"1,748"
Burlington,-,"Chittenden 3-6",172,14,4,5,195
Cabot,,,135,18,0,4,157
Calais,,,359,21,0,8,388
Cambridge,,,315,34,1,12,362
Canaan,,,71,4,0,0,75
Castleton,,,194,31,0,6,231
Cavendish,,,87,32,0,3,122
Charleston,,,65,13,0,3,81
Charlotte,,,705,96,13,15,829
Chelsea,,,129,15,0,5,149
Chester,,,328,40,0,10,378
Chittenden,,,138,11,0,3,152
Clarendon,,,143,29,0,3,175
Colchester,-,"Chittenden 7-1",605,76,0,11,692
Colchester,-,"Chittenden 7-2",678,125,1,10,814
Concord,,,70,11,1,1,83
Corinth,,,158,13,0,7,178
Cornwall,,,246,19,0,4,269
Coventry,,,69,11,0,3,83
Craftsbury,,,173,19,1,2,195
Danby,,,89,18,0,4,111
Danville,,,208,24,0,4,236
Derby,,,343,45,0,5,393
Dorset,,,200,34,0,5,239
Dover,,,95,36,0,6,137
Dummerston,,,415,27,0,8,450
Duxbury,,,189,28,1,9,227
"E. Haven",,,23,2,0,1,26
"E. Montpelier",,,494,32,2,14,542
Eden,,,59,10,2,0,71
Elmore,,,127,8,0,1,136
Enosburgh,,,195,18,3,12,228
