City/Town,Ward,Pct,"Richard W. Bryfogle",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bethel,,,86,1,5,92
Pittsfield,,,39,2,4,45
Rochester,,,62,7,7,76
Stockbridge,,,37,0,1,38
TOTALS,,,224,10,17,251
