City/Town,Ward,Pct,"Ed Clark",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,13,1,4,18
Brunswick,,,18,1,4,23
Concord,,,55,15,13,83
Granby,,,9,1,0,10
Guildhall,,,30,3,2,35
Kirby,,,23,1,15,39
Lunenburg,,,105,12,16,133
Maidstone,,,15,5,1,21
Victory,,,7,0,0,7
TOTALS,,,275,39,55,369
