City/Town,Ward,Pct,"Bob Lewis","Lynn D. Batchelor","Patrick Martell",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Brownington,,,27,15,13,1,24,80
Charleston,,,45,31,5,0,23,104
Derby,,,215,145,71,6,109,546
Holland,,,29,14,8,0,17,68
Morgan,,,69,37,11,0,27,144
TOTALS,,,385,242,108,7,200,942
