City/Town,Ward,Pct,"William F. Johnson",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brighton,,,86,4,18,108
Canaan,,,32,0,41,73
"E. Haven",,,50,0,14,64
Lemington,,,9,0,1,10
Newark,,,34,0,3,37
Norton,,,17,0,0,17
Westmore,,,15,1,2,18
TOTALS,,,243,5,79,327
