City/Town,Ward,Pct,"Patti Komline",Write-Ins,Blanks,"Total Votes Cast"
,,,
Danby,,,69,0,11,80
Dorset,,,97,0,7,104
Landgrove,,,9,0,1,10
"Mount Tabor",,,8,1,1,10
Peru,,,20,0,2,22
TOTALS,,,203,1,22,226
