City/Town,Ward,Pct,"Bruce Melendy",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cabot,,,46,2,9,57
Danville,,,150,0,32,182
Peacham,,,39,0,8,47
TOTALS,,,235,2,49,286
