City/Town,Ward,Pct,"Carolyn Whitney Branagan","Chris Santee",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfax,,,118,125,5,79,327
Georgia,,,179,118,3,92,392
TOTALS,,,297,243,8,171,719
