City/Town,Ward,Pct,"Eldred French",Write-Ins,Blanks,"Total Votes Cast"
,,,
Shrewsbury,,,135,7,20,162
Tinmouth,,,81,0,10,91
Wallingford,,,188,6,35,229
TOTALS,,,404,13,65,482
