City/Town,Ward,Pct,"Bill Frank","George Till",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,121,112,0,65,298
Jericho,,,640,660,7,317,"1,624"
Underhill,,,398,358,1,192,949
TOTALS,,,"1,159","1,130",8,574,"2,871"
