City/Town,Ward,Pct,"Janice L. Peaslee",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,16,1,0,17
Brunswick,,,11,1,1,13
Concord,,,59,7,7,73
Granby,,,17,1,3,21
Guildhall,,,32,12,5,49
Kirby,,,31,1,1,33
Lunenburg,,,139,7,37,183
Maidstone,,,20,14,3,37
Victory,,,8,2,0,10
TOTALS,,,333,46,57,436
