City/Town,Ward,Pct,"Anthony Cotter",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bethel,,,97,127,40,264
Pittsfield,,,44,35,10,89
Rochester,,,49,203,14,266
Stockbridge,,,38,65,13,116
TOTALS,,,228,430,77,735
