City/Town,Ward,Pct,"Robert Craig",Write-Ins,Blanks,"Total Votes Cast"
,,,
Groton,,,77,3,3,83
Newbury,,,120,2,12,134
Topsham,,,66,2,11,79
TOTALS,,,263,7,26,296
