City/Town,Ward,Pct,"Steve Howard","Christopher A. Bray",Write-Ins,Blanks,"Total Votes Cast"
Strafford,,,112,80,2,93,287
Stratton,,,5,5,0,2,12
Sudbury,,,44,25,0,6,75
Sunderland,,,33,17,0,19,69
Sutton,,,16,21,2,14,53
Swanton,,,187,210,24,77,498
Thetford,,,155,117,8,217,497
Tinmouth,,,59,24,0,8,91
Topsham,,,29,26,2,33,90
Townshend,,,67,42,1,62,172
Troy,,,35,48,3,21,107
Tunbridge,,,66,82,17,72,237
Underhill,,,153,175,0,147,475
Vergennes,,,50,184,6,33,273
Vernon,,,85,49,7,62,203
Vershire,,,28,34,2,36,100
Victory,,,0,6,1,0,7
Waitsfield,,,79,152,4,104,339
Walden,,,36,51,0,25,112
Wallingford,,,153,43,2,31,229
Waltham,,,16,55,0,8,79
Wardsboro,,,36,19,2,20,77
Warren,,,54,126,1,68,249
Washington,,,42,26,2,33,103
Waterbury,,,265,231,9,203,708
Waterford,,,26,40,0,20,86
Waterville,,,18,21,1,24,64
Weathersfield,,,156,84,3,53,296
Wells,,,32,20,0,9,61
"W. Fairlee",,,31,25,0,12,68
"W. Haven",,,12,7,1,2,22
"W. Rutland",,,120,24,2,11,157
"W. Windsor",,,89,54,9,45,197
Westfield,,,22,22,12,9,65
Westford,,,131,152,1,147,431
Westminster,-,"Windham 4",22,3,0,7,32
Westminster,-,"Windham 5",227,196,8,195,626
Westmore,,,13,24,1,12,50
Weston,,,61,19,0,30,110
Weybridge,,,24,173,0,10,207
Wheelock,,,18,29,2,8,57
Whiting,,,16,18,1,6,41
Whitingham,,,48,27,0,35,110
Williamstown,,,85,87,51,55,278
Williston,,,467,471,10,359,"1,307"
Wilmington,,,91,59,3,53,206
Windham,,,22,30,1,19,72
Windsor,,,217,98,4,68,387
Winhall,,,33,21,3,19,76
Winooski,,,250,231,1,152,634
Wolcott,,,60,58,16,40,174
Woodbury,,,60,57,9,40,166
Woodford,,,19,12,3,6,40
Woodstock,,,327,138,7,173,645
Worcester,,,67,78,3,56,204
TOTALS,,,"28,479","26,328","1,970","17,778","74,555"
