City/Town,Ward,Pct,"Anne B. Donahue",Write-Ins,Blanks,"Total Votes Cast"
,,,
Moretown,,,103,4,151,258
Northfield,,,219,17,334,570
Roxbury,,,23,0,39,62
TOTALS,,,345,21,524,890
