City/Town,Ward,Pct,"Philip C. Winters","Rodney Graham",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,74,52,0,56,182
Corinth,,,50,35,5,64,154
Orange,,,77,53,0,56,186
Vershire,,,16,5,0,23,44
Washington,,,26,18,0,38,82
Williamstown,,,117,94,4,101,316
TOTALS,,,360,257,9,338,964
