City/Town,Ward,Pct,"Mark Higley",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jay,,,14,1,3,18
Lowell,,,36,0,2,38
Montgomery,,,30,0,7,37
Troy,,,43,0,8,51
Westfield,,,27,4,2,33
TOTALS,,,150,5,22,177
