City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Brattleboro,-,"Windham 3-1",-,4,8,12
Brattleboro,-,"Windham 3-2",-,10,6,16
Brattleboro,-,"Windham 3-3",-,4,18,22
Dover,,,-,0,4,4
Dummerston,,,-,0,2,2
Grafton,,,-,0,1,1
Guilford,,,-,1,5,6
Marlboro,,,-,0,2,2
Newfane,,,-,2,6,8
Putney,,,-,5,9,14
Rockingham,,,-,2,18,20
Townshend,,,-,1,1,2
Vernon,,,-,0,4,4
Wardsboro,,,-,0,2,2
Westminster,-,"Windham 4",-,0,0,0
Westminster,-,"Windham 5",-,4,10,14
Windham,,,-,1,1,2
TOTALS,,,-,34,97,131
