City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,272,10,39,321
Fairlee,,,92,8,9,109
"W. Fairlee",,,62,0,6,68
TOTALS,,,426,18,54,498
