City/Town,Ward,Pct,"Willem Jewett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cornwall,,,241,2,26,269
Goshen,,,38,2,5,45
Hancock,,,29,1,3,33
Leicester,,,86,0,8,94
Ripton,,,144,0,6,150
Salisbury,,,99,2,15,116
TOTALS,,,637,7,63,707
