City/Town,Ward,Pct,"John S. Rodgers","Sam Young",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,65,68,9,50,192
Barton,,,108,78,36,82,304
Craftsbury,,,121,108,39,120,388
Glover,,,102,94,31,55,282
Greensboro,,,95,58,16,79,248
Sheffield,,,34,19,16,27,96
Wheelock,,,43,35,3,33,114
TOTALS,,,568,460,150,446,"1,624"
