City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Coventry,,,42,33,1,20,96
Irasburg,,,58,50,0,24,132
"Newport City",,,165,160,4,67,396
"Newport Town",,,53,54,3,28,138
TOTALS,,,318,297,8,139,762
