City/Town,Ward,Pct,"Jason Gibbs","Chris Roy",Write-Ins,Blanks,"Total Votes Cast"
Wheelock,,,33,18,0,5,56
Whiting,,,15,6,1,3,25
Whitingham,,,23,11,0,5,39
Williamstown,,,99,40,1,18,158
Williston,,,115,334,0,12,461
Wilmington,,,35,25,0,4,64
Windham,,,5,5,0,2,12
Windsor,,,42,37,0,10,89
Winhall,,,25,17,1,5,48
Winooski,,,63,68,1,30,162
Wolcott,,,40,21,1,11,73
Woodbury,,,53,19,1,3,76
Woodford,,,6,3,1,2,12
Woodstock,,,69,90,1,24,184
Worcester,,,31,12,0,9,52
TOTALS,,,"14,600","11,173",194,"4,049","30,016"
